danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,popularity,track_name,artist_name
0.761,0.884,10,-7.735,0.0356,0.0578,0.000236,0.312,0.653,97.995,5.69,1,Beulah Land,Dr. Charles G. Hayes
0.523,0.392,8,-11.666,0.112,0.135,0.0,0.319,0.494,153.841,3.3,0,Kneel Down And Pray,Dr. Charles G. Hayes
0.644,0.745,0,-9.898,0.235,0.0719,0.0,0.15,0.548,173.915,2.74,2,Everything's Alright,Dr. Charles G. Hayes
0.395,0.289,4,-10.497,0.0289,0.34,0.0,0.275,0.425,100.784,0.7,0,Satisfied With Jesus,Dr. Charles G. Hayes
0.557,0.962,10,-4.48,0.252,0.0232,0.0,0.167,0.386,161.959,4.75,3,Nobody Can Turn Me Around,Dr. Charles G. Hayes
0.349,0.39,1,-11.549,0.0355,0.0891,2.16e-06,0.215,0.151,90.753,4.36,0,Walking With The King,Dr. Charles G. Hayes
0.75,0.7,1,-9.964,0.213,0.156,0.0,0.209,0.783,156.105,3.09,0,I Can't Forget,Dr. Charles G. Hayes
0.544,0.363,0,-11.794,0.0331,0.442,1.84e-06,0.0824,0.189,119.896,6.53,0,Right There,Dr. Charles G. Hayes
0.643,0.825,1,-7.395,0.197,0.238,0.0,0.196,0.786,202.855,6.61,3,You Been Good,Dr. Charles G. Hayes
0.934,0.802,7,-3.349,0.33,0.107,2.18e-05,0.101,0.687,100.202,2.38,5,"Freestyle, Pt. 1",Dino BTW
0.797,0.916,1,-1.165,0.329,0.0209,3.1e-05,0.149,0.519,99.956,2.58,5,"Freestyle, Pt. 2",Dino BTW
0.487,0.432,8,-9.626,0.0296,0.52,0.0,0.0897,0.354,77.063,3.79,8,There Was Jesus,Jared Dixon
0.417,0.363,9,-20.48,0.775,0.954,7.82e-06,0.41,0.523,79.49,1.93,0,Great To Be Back,Hosty
0.504,0.643,11,-13.4,0.388,0.348,0.000804,0.301,0.543,122.653,5.55,0,Why You Treat?,Hosty
0.498,0.658,9,-13.43,0.481,0.53,3.41e-05,0.18,0.679,121.161,6.86,0,Linda Cavanaugh,Hosty
0.315,0.827,4,-12.716,0.402,0.0427,0.0735,0.265,0.635,184.397,8.34,2,Chewbacca,Hosty
0.5,0.681,2,-12.14,0.305,0.263,0.0,0.378,0.459,112.794,9.17,4,Fraidy Hole,Hosty
0.512,0.685,0,-16.87,0.114,0.622,0.0295,0.442,0.746,115.666,6.5,1,Nobody,Hosty
0.586,0.765,11,-13.234,0.147,0.451,2.89e-05,0.142,0.698,120.56,4.63,0,Devil Sent Me You,Hosty
0.36,0.32,0,-18.377,0.0626,0.742,0.000436,0.287,0.377,168.875,4.17,0,Daddy Plays Guitar In A Rock And Roll Band,Hosty
0.644,0.579,9,-16.276,0.358,0.753,0.0,0.693,0.634,115.176,4.63,0,Would Ya?,Hosty
0.585,0.434,2,-16.567,0.167,0.649,2.87e-06,0.753,0.495,131.427,3.6,0,Just To Love You,Hosty
0.465,0.623,0,-18.052,0.2,0.68,0.0142,0.713,0.623,115.087,7.94,0,Drive Thru,Hosty
0.653,0.798,0,-11.953,0.0808,0.166,4.26e-05,0.12,0.853,127.205,3.19,0,Donde Esata De Casa De Pepe,Hosty
0.441,0.814,0,-13.233,0.316,0.115,5.57e-06,0.792,0.51,116.557,7.45,0,Robots/Goodnight,Hosty
0.455,0.636,0,-19.582,0.0739,0.966,0.979,0.289,0.0637,140.127,1.42,0,Eat the Light,The Nielsen Family Band
0.59,0.367,9,-13.233,0.0322,0.371,0.000949,0.272,0.608,154.021,2.86,0,Something on Your Mind,The Nielsen Family Band
0.636,0.517,4,-12.069,0.0366,0.207,0.0103,0.148,0.538,107.119,2.51,2,Small Space,The Nielsen Family Band
0.58,0.408,4,-11.018,0.0298,0.218,0.000104,0.0877,0.681,135.089,1.91,1,Lobster,The Nielsen Family Band
0.618,0.573,2,-10.484,0.0275,0.32,9.65e-05,0.204,0.555,111.874,3.12,0,Pass the Hurt,The Nielsen Family Band
0.626,0.514,4,-11.247,0.0343,0.421,0.0229,0.106,0.83,122.176,3.95,1,Hang the Moon,The Nielsen Family Band
0.523,0.184,9,-11.772,0.0337,0.899,0.224,0.136,0.332,75.129,2.36,1,From Inside,The Nielsen Family Band
0.507,0.896,4,-8.123,0.0575,0.0281,0.000182,0.146,0.77,147.932,2.12,0,Carrotstick,The Nielsen Family Band
0.601,0.459,6,-11.701,0.0321,0.368,0.219,0.0952,0.586,111.005,2.89,0,Act of Love,The Nielsen Family Band
0.589,0.564,7,-11.947,0.0281,0.0315,0.000526,0.0871,0.916,138.15,2.28,0,Not Tomorrow,The Nielsen Family Band
0.678,0.418,4,-15.132,0.0351,0.607,0.818,0.128,0.418,125.048,6.95,1,Not Dark Yet,The Nielsen Family Band
0.72,0.477,2,-12.187,0.0292,0.24,0.169,0.108,0.556,89.915,2.95,0,Fragile Flowers,The Nielsen Family Band
0.668,0.307,5,-8.568,0.0944,0.799,0.0,0.199,0.729,129.194,2.47,0,Warm Up Time,Kidzone
0.787,0.24,10,-10.681,0.328,0.458,0.0,0.109,0.903,66.744,1.12,0,Head And Shoulders,Kidzone
0.9,0.154,9,-9.425,0.452,0.964,0.0457,0.327,0.884,133.835,1.9,0,Six Little Ducks,Kidzone
0.706,0.187,0,-17.408,0.918,0.807,0.0,0.278,0.214,129.363,0.75,0,Roly Poly (Rhyme),Kidzone
0.674,0.164,8,-9.365,0.0712,0.956,8.13e-05,0.117,0.736,130.719,1.39,0,I Have Two Eyes,Kidzone
0.82,0.39,7,-10.915,0.478,0.444,0.00634,0.0956,0.929,122.123,1.46,0,If You're Happy And You Know It,Kidzone
0.702,0.145,7,-15.667,0.904,0.367,0.0,0.462,0.782,85.049,0.49,0,I Can (Rhyme),Kidzone
0.793,0.186,5,-10.056,0.0738,0.104,0.0,0.216,0.766,184.234,2.31,0,Peter Hammers With One Hammer,Kidzone
0.62,0.172,0,-10.241,0.557,0.485,0.0,0.219,0.791,83.042,1.12,0,Let Your Hands So Loudly Clap,Kidzone
0.783,0.0386,5,-15.717,0.357,0.907,0.0,0.168,0.156,58.444,0.66,0,Wind The Bobbin Up,Kidzone
0.882,0.465,0,-10.558,0.165,0.726,0.0,0.0847,0.908,94.013,2.66,0,Bean Bag Time,Kidzone
0.929,0.331,3,-10.429,0.254,0.611,3.54e-06,0.116,0.972,114.091,1.01,0,Skipping Game,Kidzone
