year,track_name,track_popularity,album,artist_name,artist_genres,main_genre,artist_popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min
2017,Perfect,87,˜ (Deluxe),Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",pop,87,0.599,0.448,8,-6.312,0.0232,0.163,0.0,0.106,0.168,95.05,4.39
2017,Unforgettable,87,Jungle Rules,French Montana,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",hip hop,76,0.726,0.769,6,-5.043,0.123,0.0293,0.0101,0.104,0.733,97.985,3.9
2017,That's What I Like,87,24K Magic,Bruno Mars,"['dance pop', 'pop']",pop,89,0.853,0.56,1,-4.961,0.0406,0.013,0.0,0.0944,0.86,134.066,3.44
2018,All The Stars (with SZA),87,Black Panther The Album Music From And Inspired By,Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",hip hop,90,0.698,0.633,8,-4.946,0.0597,0.0605,0.000194,0.0926,0.552,96.924,3.87
2020,august,87,folklore,Taylor Swift,['pop'],pop,100,0.532,0.623,5,-9.208,0.0331,0.538,7.28e-05,0.0925,0.403,89.937,4.37
2020,Heather,87,Kid Krow,Conan Gray,"['bedroom pop', 'pop', 'pov: indie']",pop,81,0.357,0.425,5,-7.301,0.0333,0.584,0.0,0.322,0.27,102.078,3.3
2021,Save Your Tears,87,After Hours,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",r&b,95,0.68,0.826,0,-5.487,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,3.59
2022,Ghost,87,Justice,Justin Bieber,"['canadian pop', 'pop']",pop,89,0.601,0.741,2,-5.569,0.0478,0.185,2.91e-05,0.415,0.441,153.96,2.55
2023,Creepin' (with The Weeknd & 21 Savage),87,HEROES & VILLAINS,Metro Boomin,"['hip hop', 'rap']",hip hop,93,0.715,0.62,1,-6.005,0.0484,0.417,0.0,0.0822,0.172,97.95,3.69
2023,Paint The Town Red,87,Paint The Town Red,Doja Cat,"['dance pop', 'pop']",pop,87,0.868,0.538,5,-8.603,0.174,0.269,3.34e-06,0.0901,0.732,99.968,3.86
2023,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),87,Popular (Music from the HBO Original Series),The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",r&b,95,0.855,0.678,1,-6.276,0.189,0.0569,3.69e-05,0.412,0.852,99.029,3.59
2023,Is It Over Now? (Taylor's Version) (From The Vault),87,1989 (Taylor's Version),Taylor Swift,['pop'],pop,100,0.596,0.658,0,-7.346,0.036,0.0504,0.0,0.127,0.176,100.012,3.82
2023,Until I Found You (with Em Beihold) - Em Beihold Version,87,Until I Found You (Em Beihold Version),Stephen Sanchez,['gen z singer-songwriter'],,77,0.551,0.55,10,-5.339,0.0286,0.777,0.0,0.202,0.342,101.19,2.94
2023,LALA,87,LA VIDA ES UNA,Myke Towers,"['reggaeton', 'trap latino', 'urbano latino']",rap,88,0.708,0.737,1,-4.045,0.0436,0.0739,0.00162,0.0955,0.607,91.986,3.3
2023,fukumean,87,a Gift & a Curse,Gunna,"['atl hip hop', 'melodic rap', 'rap', 'trap']",hip hop,84,0.847,0.622,1,-6.747,0.0903,0.119,0.0,0.285,0.22,130.001,2.08
2023,Columbia,87,Columbia,Quevedo,"['rap canario', 'trap latino', 'urbano latino']",rap,83,0.668,0.712,5,-5.927,0.0381,0.369,2.13e-05,0.108,0.264,100.02,3.1
2002,The Scientist,86,A Rush of Blood to the Head,Coldplay,"['permanent wave', 'pop']",pop,88,0.557,0.442,5,-7.224,0.0243,0.731,1.46e-05,0.11,0.213,146.277,5.16
